Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-01-19,YESBANK,EQ,71.85,72.0,74.0,72.0,72.0,72.3,72.66,201151,1461563290000.0,,104260,0.5183
2006-01-20,YESBANK,EQ,72.3,72.5,73.2,71.35,71.5,71.65,71.85,237810,1708705155000.0,,185307,0.7792
2006-01-23,YESBANK,EQ,71.65,71.0,73.5,70.1,73.1,73.0,72.58,326697,2371320070000.0,,238304,0.7293999999999999
2006-01-24,YESBANK,EQ,73.0,73.5,75.6,73.4,75.0,75.25,74.98,661739,4961443285000.0,,526068,0.795
2006-01-25,YESBANK,EQ,75.25,75.25,84.3,75.0,82.75,82.05,80.55,2438011,19639009110000.0,,1067744,0.438
2006-01-27,YESBANK,EQ,82.05,83.0,85.45,81.55,82.0,82.0,83.04,1216017,10097199460000.0,,498827,0.41020000000000006
2006-01-30,YESBANK,EQ,82.0,82.0,83.0,77.05,78.4,78.75,79.1,629633,4980536750000.0,,374994,0.5956
2006-01-31,YESBANK,EQ,78.75,77.15,79.2,76.5,76.95,76.8,77.44,243288,1883904245000.0,,158187,0.6502
2006-02-01,YESBANK,EQ,76.8,77.45,79.9,77.0,78.8,77.8,77.91,367773,2865363305000.0,,235881,0.6414
2006-02-02,YESBANK,EQ,77.8,78.5,80.5,77.5,80.05,80.0,79.29,450094,3568726395000.0005,,300102,0.6668000000000001
2006-02-03,YESBANK,EQ,80.0,80.0,80.0,77.9,78.55,78.6,78.56,180915,1421295120000.0,,111324,0.6153000000000001
2006-02-06,YESBANK,EQ,78.6,78.1,79.3,78.1,79.2,79.0,78.9,296316,2337905870000.0,,242046,0.8169
2006-02-07,YESBANK,EQ,79.0,79.0,81.7,78.75,79.6,79.6,79.83,269252,2149334945000.0,,141965,0.5273
2006-02-08,YESBANK,EQ,79.6,80.0,81.0,77.95,80.5,80.4,79.97,241224,1928952314999.9998,,174333,0.7227
2006-02-10,YESBANK,EQ,80.4,80.8,82.65,79.6,79.7,79.85,80.68,714348,5763351965000.0,,546898,0.7656000000000001
2006-02-13,YESBANK,EQ,79.85,79.5,80.9,78.6,78.65,79.8,80.08,394181,3156482070000.0,,304677,0.7729
2006-02-14,YESBANK,EQ,79.8,80.0,82.4,78.1,80.5,81.5,80.51,595498,4794284520000.0,,447174,0.7509
2006-02-15,YESBANK,EQ,81.5,81.9,81.9,79.1,80.35,80.4,80.25,343427,2756036715000.0,,259241,0.7549
2006-02-16,YESBANK,EQ,80.4,80.0,81.3,78.4,80.5,80.65,80.03,302569,2421541665000.0,,147199,0.4865
2006-02-17,YESBANK,EQ,80.65,81.0,81.9,79.55,81.5,81.2,80.72,296847,2396031325000.0,,216671,0.7299
2006-02-20,YESBANK,EQ,81.2,80.15,80.8,78.55,80.35,80.3,79.9,200238,1599851075000.0,,146546,0.7319
2006-02-21,YESBANK,EQ,80.3,80.0,84.6,79.3,83.95,83.6,82.88,415409,3442803079999.9995,,225734,0.5434
2006-02-22,YESBANK,EQ,83.6,83.5,84.25,82.1,83.25,82.7,83.34,362932,3024538620000.0,,152272,0.41960000000000003
2006-02-23,YESBANK,EQ,82.7,81.5,82.0,80.35,82.0,81.7,81.63,129392,1056196800000.0,,87135,0.6734
2006-02-24,YESBANK,EQ,81.7,81.15,81.9,79.15,80.0,80.25,80.22,352850,2830568060000.0,,251041,0.7115
2006-02-27,YESBANK,EQ,80.25,81.0,81.25,79.5,80.15,80.2,80.28,102277,821108660000.0,,62746,0.6135
2006-02-28,YESBANK,EQ,80.2,81.0,82.2,80.25,80.75,80.85,81.11,132620,1075658210000.0,,74687,0.5632
2006-03-01,YESBANK,EQ,80.85,81.0,82.1,80.15,82.0,81.8,81.37,145981,1187777365000.0,,120902,0.8281999999999999
2006-03-02,YESBANK,EQ,81.8,82.0,83.25,81.4,83.0,82.6,82.05,176632,1449282835000.0,,144329,0.8170999999999999
2006-03-03,YESBANK,EQ,82.6,82.0,88.0,81.8,84.9,85.4,85.56,501980,4294999479999.9995,,237402,0.4729
2006-03-06,YESBANK,EQ,85.4,86.0,88.8,85.25,88.05,88.15,87.54,437137,3826632585000.0,,260260,0.5954
2006-03-07,YESBANK,EQ,88.15,87.75,88.7,86.15,86.8,86.9,87.01,134386,1169280915000.0,,81395,0.6057
2006-03-08,YESBANK,EQ,86.9,87.0,87.7,82.0,82.95,84.6,85.81,271808,2332443880000.0,,224706,0.8267
2006-03-09,YESBANK,EQ,84.6,84.6,93.4,83.0,89.4,89.55,88.91,894922,7957065980000.0,,410601,0.45880000000000004
2006-03-10,YESBANK,EQ,89.55,90.6,93.7,88.6,89.0,89.5,91.56,579523,5306310995000.0,,220781,0.381
2006-03-13,YESBANK,EQ,89.5,90.2,90.2,87.7,89.5,89.55,89.31,199774,1784122964999.9998,,109201,0.5466
2006-03-14,YESBANK,EQ,89.55,89.95,90.1,88.4,89.75,89.7,89.57,177358,1588680620000.0,,105978,0.5975
2006-03-16,YESBANK,EQ,89.7,88.8,92.0,88.8,89.25,89.5,90.47,256357,2319229290000.0,,177269,0.6915000000000001
2006-03-17,YESBANK,EQ,89.5,91.0,91.0,89.5,90.0,89.85,89.92,118751,1067828525000.0,,95332,0.8028000000000001
2006-03-20,YESBANK,EQ,89.85,89.85,92.25,89.85,90.8,90.85,91.12,226003,2059229650000.0,,172599,0.7637
2006-03-21,YESBANK,EQ,90.85,91.75,91.75,90.35,90.55,90.85,90.9,133069,1209565445000.0,,107833,0.8104000000000001
2006-03-22,YESBANK,EQ,90.85,91.75,94.7,90.3,90.75,90.85,92.12,376381,3467308510000.0,,215614,0.5729
2006-03-23,YESBANK,EQ,90.85,91.3,92.35,90.25,90.25,90.85,91.51,112775,1031979935000.0,,74227,0.6581999999999999
